T,eff
303.463,1.06418
305.338,1.0609
306.223,1.05939
307.16,1.05763
308.358,1.05611
309.921,1.05359
310.702,1.05183
311.588,1.04981
312.369,1.04754
313.098,1.04528
313.827,1.0425
314.556,1.03973
315.025,1.03771
315.546,1.03544
316.067,1.03318
316.535,1.03091
317.473,1.02612
317.942,1.02385
318.463,1.02133
319.296,1.01704
320.181,1.01301
320.806,1.01024
321.379,1.00797
322.004,1.0057
322.629,1.00318
323.254,1.00116
324.088,0.99864
324.713,0.99663
325.442,0.99461
326.275,0.99284
327.056,0.99158
327.733,0.98982
328.567,0.98881
329.348,0.98755
330.077,0.98654
331.431,0.98402
332.317,0.98201
333.046,0.981
